TTree  Jul 18 20:37 2018 Events            ""
    double_fixedGridRhoFastjetCentralNeutral__RECO.obj      "double_fixedGridRhoFastjetCentralNeutral__RECO.obj"      1528339
  edmTriggerResults_TriggerResults__RECO.                             "edmTriggerResults_TriggerResults__RECO."                             0
    edmTriggerResults_TriggerResults__RECO.present  "edmTriggerResults_TriggerResults__RECO.present"  213170
    edmTriggerResults_TriggerResults__RECO.obj      "edmTriggerResults_TriggerResults__RECO.obj"      30657139
  recoBeamHaloSummary_BeamHaloSummary__RECO.                          "recoBeamHaloSummary_BeamHaloSummary__RECO."                          0
    recoBeamHaloSummary_BeamHaloSummary__RECO.present  "recoBeamHaloSummary_BeamHaloSummary__RECO.present"  213833
    recoBeamHaloSummary_BeamHaloSummary__RECO.obj      "recoBeamHaloSummary_BeamHaloSummary__RECO.obj"      20060071
  recoBeamSpot_offlineBeamSpot__RECO.                                 "recoBeamSpot_offlineBeamSpot__RECO."                                 0
    recoBeamSpot_offlineBeamSpot__RECO.present  "recoBeamSpot_offlineBeamSpot__RECO.present"  212286
    recoBeamSpot_offlineBeamSpot__RECO.obj      "recoBeamSpot_offlineBeamSpot__RECO.obj"      62787335
  recoCSCHaloData_CSCHaloData__RECO.                                  "recoCSCHaloData_CSCHaloData__RECO."                                  0
    recoCSCHaloData_CSCHaloData__RECO.present  "recoCSCHaloData_CSCHaloData__RECO.present"  212065
    recoCSCHaloData_CSCHaloData__RECO.obj      "recoCSCHaloData_CSCHaloData__RECO.obj"      19605934
  CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.             "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO."             0
    CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.present  "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.present"  216706
    CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.obj      "CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.obj"      3037290
  LumiScalerss_scalersRawToDigi__RECO.                                "LumiScalerss_scalersRawToDigi__RECO."                                0
    LumiScalerss_scalersRawToDigi__RECO.present  "LumiScalerss_scalersRawToDigi__RECO.present"  212507
    LumiScalerss_scalersRawToDigi__RECO.obj      "LumiScalerss_scalersRawToDigi__RECO.obj"      53018946
  l1extraL1EmParticles_l1extraParticles_Isolated_RECO.                "l1extraL1EmParticles_l1extraParticles_Isolated_RECO."                0
    l1extraL1EmParticles_l1extraParticles_Isolated_RECO.present  "l1extraL1EmParticles_l1extraParticles_Isolated_RECO.present"  216043
    l1extraL1EmParticles_l1extraParticles_Isolated_RECO.obj      "l1extraL1EmParticles_l1extraParticles_Isolated_RECO.obj"      3036552
  l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.             "l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO."             0
    l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.present  "l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.present"  216706
    l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.obj      "l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.obj"      3037290
  l1extraL1EtMissParticles_l1extraParticles_MET_RECO.                 "l1extraL1EtMissParticles_l1extraParticles_MET_RECO."                 0
    l1extraL1EtMissParticles_l1extraParticles_MET_RECO.present  "l1extraL1EtMissParticles_l1extraParticles_MET_RECO.present"  215822
    l1extraL1EtMissParticles_l1extraParticles_MET_RECO.obj      "l1extraL1EtMissParticles_l1extraParticles_MET_RECO.obj"      34233111
  l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.                 "l1extraL1EtMissParticles_l1extraParticles_MHT_RECO."                 0
    l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.present  "l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.present"  215822
    l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.obj      "l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.obj"      34233111
  l1extraL1HFRingss_l1extraParticles__RECO.                           "l1extraL1HFRingss_l1extraParticles__RECO."                           0
    l1extraL1HFRingss_l1extraParticles__RECO.present  "l1extraL1HFRingss_l1extraParticles__RECO.present"  213612
    l1extraL1HFRingss_l1extraParticles__RECO.obj      "l1extraL1HFRingss_l1extraParticles__RECO.obj"      18817366
  l1extraL1JetParticles_l1extraParticles_Central_RECO.                "l1extraL1JetParticles_l1extraParticles_Central_RECO."                0
    l1extraL1JetParticles_l1extraParticles_Central_RECO.present  "l1extraL1JetParticles_l1extraParticles_Central_RECO.present"  216043
    l1extraL1JetParticles_l1extraParticles_Central_RECO.obj      "l1extraL1JetParticles_l1extraParticles_Central_RECO.obj"      3036552
  l1extraL1JetParticles_l1extraParticles_Forward_RECO.                "l1extraL1JetParticles_l1extraParticles_Forward_RECO."                0
    l1extraL1JetParticles_l1extraParticles_Forward_RECO.present  "l1extraL1JetParticles_l1extraParticles_Forward_RECO.present"  216043
    l1extraL1JetParticles_l1extraParticles_Forward_RECO.obj      "l1extraL1JetParticles_l1extraParticles_Forward_RECO.obj"      3036552
  l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.                 "l1extraL1JetParticles_l1extraParticles_IsoTau_RECO."                 0
    l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.present  "l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.present"  215822
    l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.obj      "l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.obj"      3036306
  l1extraL1JetParticles_l1extraParticles_Tau_RECO.                    "l1extraL1JetParticles_l1extraParticles_Tau_RECO."                    0
    l1extraL1JetParticles_l1extraParticles_Tau_RECO.present  "l1extraL1JetParticles_l1extraParticles_Tau_RECO.present"  215159
    l1extraL1JetParticles_l1extraParticles_Tau_RECO.obj      "l1extraL1JetParticles_l1extraParticles_Tau_RECO.obj"      3035568
  l1extraL1MuonParticles_l1extraParticles__RECO.                      "l1extraL1MuonParticles_l1extraParticles__RECO."                      0
    l1extraL1MuonParticles_l1extraParticles__RECO.present  "l1extraL1MuonParticles_l1extraParticles__RECO.present"  214717
    l1extraL1MuonParticles_l1extraParticles__RECO.obj      "l1extraL1MuonParticles_l1extraParticles__RECO.obj"      3035076
  double_fixedGridRhoAll__DQM.                                        "double_fixedGridRhoAll__DQM."                                        0
    double_fixedGridRhoAll__DQM.present  "double_fixedGridRhoAll__DQM.present"  210739
    double_fixedGridRhoAll__DQM.obj      "double_fixedGridRhoAll__DQM.obj"      1524140
  double_fixedGridRhoFastjetAll__DQM.                                 "double_fixedGridRhoFastjetAll__DQM."                                 0
    double_fixedGridRhoFastjetAll__DQM.present  "double_fixedGridRhoFastjetAll__DQM.present"  212286
    double_fixedGridRhoFastjetAll__DQM.obj      "double_fixedGridRhoFastjetAll__DQM.obj"      1525687
  double_fixedGridRhoFastjetCentral__DQM.                             "double_fixedGridRhoFastjetCentral__DQM."                             0
    double_fixedGridRhoFastjetCentral__DQM.present  "double_fixedGridRhoFastjetCentral__DQM.present"  213170
    double_fixedGridRhoFastjetCentral__DQM.obj      "double_fixedGridRhoFastjetCentral__DQM.obj"      1526571
  double_fixedGridRhoFastjetCentralChargedPileUp__DQM.                "double_fixedGridRhoFastjetCentralChargedPileUp__DQM."                0
    double_fixedGridRhoFastjetCentralChargedPileUp__DQM.present  "double_fixedGridRhoFastjetCentralChargedPileUp__DQM.present"  216043
    double_fixedGridRhoFastjetCentralChargedPileUp__DQM.obj      "double_fixedGridRhoFastjetCentralChargedPileUp__DQM.obj"      1529444
  double_fixedGridRhoFastjetCentralNeutral__DQM.                      "double_fixedGridRhoFastjetCentralNeutral__DQM."                      0
    double_fixedGridRhoFastjetCentralNeutral__DQM.present  "double_fixedGridRhoFastjetCentralNeutral__DQM.present"  214717
    double_fixedGridRhoFastjetCentralNeutral__DQM.obj      "double_fixedGridRhoFastjetCentralNeutral__DQM.obj"      1528118
  recoDeDxHitInfosedmAssociation_isolatedTracks__DQM.                 "recoDeDxHitInfosedmAssociation_isolatedTracks__DQM."                 0
    recoDeDxHitInfosedmAssociation_isolatedTracks__DQM.present  "recoDeDxHitInfosedmAssociation_isolatedTracks__DQM.present"  215822
    recoDeDxHitInfosedmAssociation_isolatedTracks__DQM.obj      "recoDeDxHitInfosedmAssociation_isolatedTracks__DQM.obj"      16888275
  recoBaseTagInfosOwned_slimmedJetsPuppi_tagInfos_DQM.                "recoBaseTagInfosOwned_slimmedJetsPuppi_tagInfos_DQM."                0
    recoBaseTagInfosOwned_slimmedJetsPuppi_tagInfos_DQM.present  "recoBaseTagInfosOwned_slimmedJetsPuppi_tagInfos_DQM.present"  216043
    recoBaseTagInfosOwned_slimmedJetsPuppi_tagInfos_DQM.obj      "recoBaseTagInfosOwned_slimmedJetsPuppi_tagInfos_DQM.obj"      3787572
  CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__DQM.                 "CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__DQM."                 0
    CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__DQM.present  "CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__DQM.present"  215822
    CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__DQM.obj      "CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__DQM.obj"      62242371
  DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__DQM.          "DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__DQM."          0
    DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__DQM.present  "DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__DQM.present"  217369
    DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__DQM.obj      "DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__DQM.obj"      86864333
  EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.               "EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM."               0
    EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.present  "EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.present"  216264
    EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj      "EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj"      0
      EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj  "EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj_"  1532317
        EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj.id_.id_    "id_[EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj_]"        9977985
        EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj.energy_    "energy_[EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj_]"    9977985
        EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj.time_      "time_[EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj_]"      9977359
        EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj.flagBits_  "flagBits_[EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj_]"  9978611
        EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj.extra_     "extra_[EcalRecHitsSorted_reducedEgamma_reducedEBRecHits_DQM.obj.obj_]"     9977672
  EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.               "EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM."               0
    EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.present  "EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.present"  216264
