TTree  Jul 18 20:37 2018 Events            ""
      patJets_slimmedJets__DQM.obj.userDataObjects_.data_                          "data_[patJets_slimmedJets__DQM.obj_]"                          7899978
      patJets_slimmedJets__DQM.obj.userFloatLabels_                                "userFloatLabels_[patJets_slimmedJets__DQM.obj_]"               147227541
      patJets_slimmedJets__DQM.obj.userFloats_                                     "userFloats_[patJets_slimmedJets__DQM.obj_]"                    31865996
      patJets_slimmedJets__DQM.obj.userIntLabels_                                  "userIntLabels_[patJets_slimmedJets__DQM.obj_]"                 36362159
      patJets_slimmedJets__DQM.obj.userInts_                                       "userInts_[patJets_slimmedJets__DQM.obj_]"                      13888639
      patJets_slimmedJets__DQM.obj.userCandLabels_                                 "userCandLabels_[patJets_slimmedJets__DQM.obj_]"                7898039
      patJets_slimmedJets__DQM.obj.userCands_                                      "userCands_[patJets_slimmedJets__DQM.obj_]"                     8272396
      patJets_slimmedJets__DQM.obj.kinResolutions_                                 "kinResolutions_[patJets_slimmedJets__DQM.obj_]"                8273791
      patJets_slimmedJets__DQM.obj.kinResolutionLabels_                            "kinResolutionLabels_[patJets_slimmedJets__DQM.obj_]"           7899424
      patJets_slimmedJets__DQM.obj.embeddedCaloTowers_                             "embeddedCaloTowers_[patJets_slimmedJets__DQM.obj_]"            2276013
      patJets_slimmedJets__DQM.obj.caloTowers_.obj                                 "obj[patJets_slimmedJets__DQM.obj_]"                            8273791
      patJets_slimmedJets__DQM.obj.caloTowersFwdPtr_                               "caloTowersFwdPtr_[patJets_slimmedJets__DQM.obj_]"              8274349
      patJets_slimmedJets__DQM.obj.embeddedPFCandidates_                           "embeddedPFCandidates_[patJets_slimmedJets__DQM.obj_]"          2276465
      patJets_slimmedJets__DQM.obj.pfCandidates_                                   "pfCandidates_[patJets_slimmedJets__DQM.obj_]"                  8273233
      patJets_slimmedJets__DQM.obj.pfCandidatesFwdPtr_                             "pfCandidatesFwdPtr_[patJets_slimmedJets__DQM.obj_]"            8274907
      patJets_slimmedJets__DQM.obj.subjetCollections_                              "subjetCollections_[patJets_slimmedJets__DQM.obj_]"             7898870
      patJets_slimmedJets__DQM.obj.subjetLabels_                                   "subjetLabels_[patJets_slimmedJets__DQM.obj_]"                  7897485
      patJets_slimmedJets__DQM.obj.genJet_                                         "genJet_[patJets_slimmedJets__DQM.obj_]"                        8271559
      patJets_slimmedJets__DQM.obj.genJetRef_.refVector_.product_                  "product_[patJets_slimmedJets__DQM.obj_]"                       9770782
      patJets_slimmedJets__DQM.obj.genJetRef_.refVector_.keys_                     "keys_[patJets_slimmedJets__DQM.obj_]"                          7901363
      patJets_slimmedJets__DQM.obj.genJetFwdRef_.ref_.product_                     "product_[patJets_slimmedJets__DQM.obj_]"                       15763271
      patJets_slimmedJets__DQM.obj.genJetFwdRef_.backRef_.product_                 "product_[patJets_slimmedJets__DQM.obj_]"                       15764619
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_bHadrons.refVector_.product_  "product_[patJets_slimmedJets__DQM.obj_]"                       9775406
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_bHadrons.refVector_.keys_     "keys_[patJets_slimmedJets__DQM.obj_]"                          7905795
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_cHadrons.refVector_.product_  "product_[patJets_slimmedJets__DQM.obj_]"                       9775406
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_cHadrons.refVector_.keys_     "keys_[patJets_slimmedJets__DQM.obj_]"                          7905795
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_partons.refVector_.product_   "product_[patJets_slimmedJets__DQM.obj_]"                       9775117
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_partons.refVector_.keys_      "keys_[patJets_slimmedJets__DQM.obj_]"                          7905518
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_leptons.refVector_.product_   "product_[patJets_slimmedJets__DQM.obj_]"                       9775117
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_leptons.refVector_.keys_      "keys_[patJets_slimmedJets__DQM.obj_]"                          7905518
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_hadronFlavour                 "m_hadronFlavour[patJets_slimmedJets__DQM.obj_]"                6775119
      patJets_slimmedJets__DQM.obj.jetFlavourInfo_.m_partonFlavour                 "m_partonFlavour[patJets_slimmedJets__DQM.obj_]"                6775119
      patJets_slimmedJets__DQM.obj.jec_                                            "jec_[patJets_slimmedJets__DQM.obj_]"                           285409957
      patJets_slimmedJets__DQM.obj.currentJECSet_                                  "currentJECSet_[patJets_slimmedJets__DQM.obj_]"                 6770512
      patJets_slimmedJets__DQM.obj.currentJECLevel_                                "currentJECLevel_[patJets_slimmedJets__DQM.obj_]"               6771054
      patJets_slimmedJets__DQM.obj.currentJECFlavor_                               "currentJECFlavor_[patJets_slimmedJets__DQM.obj_]"              6771325
      patJets_slimmedJets__DQM.obj.pairDiscriVector_                               "pairDiscriVector_[patJets_slimmedJets__DQM.obj_]"              1267688737
      patJets_slimmedJets__DQM.obj.tagInfoLabels_                                  "tagInfoLabels_[patJets_slimmedJets__DQM.obj_]"                 7897762
      patJets_slimmedJets__DQM.obj.tagInfos_.data_                                 "data_[patJets_slimmedJets__DQM.obj_]"                          7898039
      patJets_slimmedJets__DQM.obj.tagInfosFwdPtr_                                 "tagInfosFwdPtr_[patJets_slimmedJets__DQM.obj_]"                8273791
      patJets_slimmedJets__DQM.obj.jetCharge_                                      "jetCharge_[patJets_slimmedJets__DQM.obj_]"                     6769428
      patJets_slimmedJets__DQM.obj.associatedTracks_.refVector_.product_           "product_[patJets_slimmedJets__DQM.obj_]"                       9772805
      patJets_slimmedJets__DQM.obj.associatedTracks_.refVector_.keys_              "keys_[patJets_slimmedJets__DQM.obj_]"                          7903302
      patJets_slimmedJets__DQM.obj.specificCalo_                                   "specificCalo_[patJets_slimmedJets__DQM.obj_]"                  8273233
      patJets_slimmedJets__DQM.obj.specificJPT_                                    "specificJPT_[patJets_slimmedJets__DQM.obj_]"                   8272954
      patJets_slimmedJets__DQM.obj.specificPF_                                     "specificPF_[patJets_slimmedJets__DQM.obj_]"                    128120574
      patJets_slimmedJets__DQM.obj.jetID_.fHPD                                     "fHPD[patJets_slimmedJets__DQM.obj_]"                           6769699
      patJets_slimmedJets__DQM.obj.jetID_.fRBX                                     "fRBX[patJets_slimmedJets__DQM.obj_]"                           6769699
      patJets_slimmedJets__DQM.obj.jetID_.n90Hits                                  "n90Hits[patJets_slimmedJets__DQM.obj_]"                        3774026
      patJets_slimmedJets__DQM.obj.jetID_.fSubDetector1                            "fSubDetector1[patJets_slimmedJets__DQM.obj_]"                  6772138
      patJets_slimmedJets__DQM.obj.jetID_.fSubDetector2                            "fSubDetector2[patJets_slimmedJets__DQM.obj_]"                  6772138
      patJets_slimmedJets__DQM.obj.jetID_.fSubDetector3                            "fSubDetector3[patJets_slimmedJets__DQM.obj_]"                  6772138
      patJets_slimmedJets__DQM.obj.jetID_.fSubDetector4                            "fSubDetector4[patJets_slimmedJets__DQM.obj_]"                  6772138
      patJets_slimmedJets__DQM.obj.jetID_.restrictedEMF                            "restrictedEMF[patJets_slimmedJets__DQM.obj_]"                  6772138
      patJets_slimmedJets__DQM.obj.jetID_.nHCALTowers                              "nHCALTowers[patJets_slimmedJets__DQM.obj_]"                    3775010
      patJets_slimmedJets__DQM.obj.jetID_.nECALTowers                              "nECALTowers[patJets_slimmedJets__DQM.obj_]"                    3775010
      patJets_slimmedJets__DQM.obj.jetID_.approximatefHPD                          "approximatefHPD[patJets_slimmedJets__DQM.obj_]"                6772680
      patJets_slimmedJets__DQM.obj.jetID_.approximatefRBX                          "approximatefRBX[patJets_slimmedJets__DQM.obj_]"                6772680
      patJets_slimmedJets__DQM.obj.jetID_.hitsInN90                                "hitsInN90[patJets_slimmedJets__DQM.obj_]"                      3774518
      patJets_slimmedJets__DQM.obj.jetID_.numberOfHits2RPC                         "numberOfHits2RPC[patJets_slimmedJets__DQM.obj_]"               3776240
      patJets_slimmedJets__DQM.obj.jetID_.numberOfHits3RPC                         "numberOfHits3RPC[patJets_slimmedJets__DQM.obj_]"               3776240
      patJets_slimmedJets__DQM.obj.jetID_.numberOfHitsRPC                          "numberOfHitsRPC[patJets_slimmedJets__DQM.obj_]"                3775994
      patJets_slimmedJets__DQM.obj.jetID_.fEB                                      "fEB[patJets_slimmedJets__DQM.obj_]"                            6769428
      patJets_slimmedJets__DQM.obj.jetID_.fEE                                      "fEE[patJets_slimmedJets__DQM.obj_]"                            6769428
      patJets_slimmedJets__DQM.obj.jetID_.fHB                                      "fHB[patJets_slimmedJets__DQM.obj_]"                            6769428
      patJets_slimmedJets__DQM.obj.jetID_.fHE                                      "fHE[patJets_slimmedJets__DQM.obj_]"                            6769428
      patJets_slimmedJets__DQM.obj.jetID_.fHO                                      "fHO[patJets_slimmedJets__DQM.obj_]"                            6769428
      patJets_slimmedJets__DQM.obj.jetID_.fLong                                    "fLong[patJets_slimmedJets__DQM.obj_]"                          6769970
      patJets_slimmedJets__DQM.obj.jetID_.fShort                                   "fShort[patJets_slimmedJets__DQM.obj_]"                         6770241
      patJets_slimmedJets__DQM.obj.jetID_.fLS                                      "fLS[patJets_slimmedJets__DQM.obj_]"                            6769428
      patJets_slimmedJets__DQM.obj.jetID_.fHFOOT                                   "fHFOOT[patJets_slimmedJets__DQM.obj_]"                         6770241
  patJets_slimmedJetsAK8__DQM.                                        "patJets_slimmedJetsAK8__DQM."                                        0
    patJets_slimmedJetsAK8__DQM.present  "patJets_slimmedJetsAK8__DQM.present"  210739
    patJets_slimmedJetsAK8__DQM.obj      "patJets_slimmedJetsAK8__DQM.obj"      268926176
  patJets_slimmedJetsPuppi__DQM.                                      "patJets_slimmedJetsPuppi__DQM."                                      0
    patJets_slimmedJetsPuppi__DQM.present  "patJets_slimmedJetsPuppi__DQM.present"  211181
    patJets_slimmedJetsPuppi__DQM.obj      "patJets_slimmedJetsPuppi__DQM.obj_"     1526350
      patJets_slimmedJetsPuppi__DQM.obj.m_state.vertex_.fCoordinates.fX                 "fX[patJets_slimmedJetsPuppi__DQM.obj_]"                             2964584
      patJets_slimmedJetsPuppi__DQM.obj.m_state.vertex_.fCoordinates.fY                 "fY[patJets_slimmedJetsPuppi__DQM.obj_]"                             2964584
      patJets_slimmedJetsPuppi__DQM.obj.m_state.vertex_.fCoordinates.fZ                 "fZ[patJets_slimmedJetsPuppi__DQM.obj_]"                             2964584
      patJets_slimmedJetsPuppi__DQM.obj.m_state.p4Polar_.fCoordinates.fPt               "fPt[patJets_slimmedJetsPuppi__DQM.obj_]"                            2965076
      patJets_slimmedJetsPuppi__DQM.obj.m_state.p4Polar_.fCoordinates.fEta              "fEta[patJets_slimmedJetsPuppi__DQM.obj_]"                           2965322
      patJets_slimmedJetsPuppi__DQM.obj.m_state.p4Polar_.fCoordinates.fPhi              "fPhi[patJets_slimmedJetsPuppi__DQM.obj_]"                           2965322
      patJets_slimmedJetsPuppi__DQM.obj.m_state.p4Polar_.fCoordinates.fM                "fM[patJets_slimmedJetsPuppi__DQM.obj_]"                             2964830
      patJets_slimmedJetsPuppi__DQM.obj.m_state.qx3_                                    "qx3_[patJets_slimmedJetsPuppi__DQM.obj_]"                           2959910
      patJets_slimmedJetsPuppi__DQM.obj.m_state.pdgId_                                  "pdgId_[patJets_slimmedJetsPuppi__DQM.obj_]"                         2960402
      patJets_slimmedJetsPuppi__DQM.obj.m_state.status_                                 "status_[patJets_slimmedJetsPuppi__DQM.obj_]"                        2960648
      patJets_slimmedJetsPuppi__DQM.obj.dau                                             "dau[patJets_slimmedJetsPuppi__DQM.obj_]"                            95395498
      patJets_slimmedJetsPuppi__DQM.obj.mJetArea                                        "mJetArea[patJets_slimmedJetsPuppi__DQM.obj_]"                       2958926
      patJets_slimmedJetsPuppi__DQM.obj.mPileupEnergy                                   "mPileupEnergy[patJets_slimmedJetsPuppi__DQM.obj_]"                  2960156
      patJets_slimmedJetsPuppi__DQM.obj.mPassNumber                                     "mPassNumber[patJets_slimmedJetsPuppi__DQM.obj_]"                    2959664
      patJets_slimmedJetsPuppi__DQM.obj.refToOrig_.core_                                "core_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4050210
      patJets_slimmedJetsPuppi__DQM.obj.refToOrig_.key_                                 "key_[patJets_slimmedJetsPuppi__DQM.obj_]"                           5139280
      patJets_slimmedJetsPuppi__DQM.obj.triggerObjectMatchesEmbedded_                   "triggerObjectMatchesEmbedded_[patJets_slimmedJetsPuppi__DQM.obj_]"  4466132
      patJets_slimmedJetsPuppi__DQM.obj.efficiencyValues_                               "efficiencyValues_[patJets_slimmedJetsPuppi__DQM.obj_]"              4463180
      patJets_slimmedJetsPuppi__DQM.obj.efficiencyNames_                                "efficiencyNames_[patJets_slimmedJetsPuppi__DQM.obj_]"               4087424
      patJets_slimmedJetsPuppi__DQM.obj.genParticleRef_                                 "genParticleRef_[patJets_slimmedJetsPuppi__DQM.obj_]"                4462688
      patJets_slimmedJetsPuppi__DQM.obj.genParticleEmbedded_                            "genParticleEmbedded_[patJets_slimmedJetsPuppi__DQM.obj_]"           4463918
      patJets_slimmedJetsPuppi__DQM.obj.overlapLabels_                                  "overlapLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"                 4086932
      patJets_slimmedJetsPuppi__DQM.obj.overlapItems_                                   "overlapItems_[patJets_slimmedJetsPuppi__DQM.obj_]"                  4462196
      patJets_slimmedJetsPuppi__DQM.obj.userDataLabels_                                 "userDataLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"                4087178
      patJets_slimmedJetsPuppi__DQM.obj.userDataObjects_.data_                          "data_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4088900
      patJets_slimmedJetsPuppi__DQM.obj.userFloatLabels_                                "userFloatLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"               175273612
      patJets_slimmedJetsPuppi__DQM.obj.userFloats_                                     "userFloats_[patJets_slimmedJetsPuppi__DQM.obj_]"                    17170064
      patJets_slimmedJetsPuppi__DQM.obj.userIntLabels_                                  "userIntLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"                 4086932
      patJets_slimmedJetsPuppi__DQM.obj.userInts_                                       "userInts_[patJets_slimmedJetsPuppi__DQM.obj_]"                      4085702
      patJets_slimmedJetsPuppi__DQM.obj.userCandLabels_                                 "userCandLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"                4087178
      patJets_slimmedJetsPuppi__DQM.obj.userCands_                                      "userCands_[patJets_slimmedJetsPuppi__DQM.obj_]"                     4461458
      patJets_slimmedJetsPuppi__DQM.obj.kinResolutions_                                 "kinResolutions_[patJets_slimmedJetsPuppi__DQM.obj_]"                4462688
      patJets_slimmedJetsPuppi__DQM.obj.kinResolutionLabels_                            "kinResolutionLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"           4088408
      patJets_slimmedJetsPuppi__DQM.obj.embeddedCaloTowers_                             "embeddedCaloTowers_[patJets_slimmedJetsPuppi__DQM.obj_]"            1324408
      patJets_slimmedJetsPuppi__DQM.obj.caloTowers_.obj                                 "obj[patJets_slimmedJetsPuppi__DQM.obj_]"                            4462688
      patJets_slimmedJetsPuppi__DQM.obj.caloTowersFwdPtr_                               "caloTowersFwdPtr_[patJets_slimmedJetsPuppi__DQM.obj_]"              4463180
      patJets_slimmedJetsPuppi__DQM.obj.embeddedPFCandidates_                           "embeddedPFCandidates_[patJets_slimmedJetsPuppi__DQM.obj_]"          1324850
      patJets_slimmedJetsPuppi__DQM.obj.pfCandidates_                                   "pfCandidates_[patJets_slimmedJetsPuppi__DQM.obj_]"                  4462196
      patJets_slimmedJetsPuppi__DQM.obj.pfCandidatesFwdPtr_                             "pfCandidatesFwdPtr_[patJets_slimmedJetsPuppi__DQM.obj_]"            4463672
      patJets_slimmedJetsPuppi__DQM.obj.subjetCollections_                              "subjetCollections_[patJets_slimmedJetsPuppi__DQM.obj_]"             4087916
      patJets_slimmedJetsPuppi__DQM.obj.subjetLabels_                                   "subjetLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"                  4086686
      patJets_slimmedJetsPuppi__DQM.obj.genJet_                                         "genJet_[patJets_slimmedJetsPuppi__DQM.obj_]"                        4460720
      patJets_slimmedJetsPuppi__DQM.obj.genJetRef_.refVector_.product_                  "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       4053654
      patJets_slimmedJetsPuppi__DQM.obj.genJetRef_.refVector_.keys_                     "keys_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4090130
      patJets_slimmedJetsPuppi__DQM.obj.genJetFwdRef_.ref_.product_                     "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       6234446
      patJets_slimmedJetsPuppi__DQM.obj.genJetFwdRef_.backRef_.product_                 "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       6235514
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_bHadrons.refVector_.product_  "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       4057590
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_bHadrons.refVector_.keys_     "keys_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4094066
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_cHadrons.refVector_.product_  "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       4057590
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_cHadrons.refVector_.keys_     "keys_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4094066
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_partons.refVector_.product_   "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       4057344
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_partons.refVector_.keys_      "keys_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4093820
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_leptons.refVector_.product_   "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       4057344
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_leptons.refVector_.keys_      "keys_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4093820
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_hadronFlavour                 "m_hadronFlavour[patJets_slimmedJetsPuppi__DQM.obj_]"                2964584
      patJets_slimmedJetsPuppi__DQM.obj.jetFlavourInfo_.m_partonFlavour                 "m_partonFlavour[patJets_slimmedJetsPuppi__DQM.obj_]"                2964584
      patJets_slimmedJetsPuppi__DQM.obj.jec_                                            "jec_[patJets_slimmedJetsPuppi__DQM.obj_]"                           78596835
      patJets_slimmedJetsPuppi__DQM.obj.currentJECSet_                                  "currentJECSet_[patJets_slimmedJetsPuppi__DQM.obj_]"                 2960402
      patJets_slimmedJetsPuppi__DQM.obj.currentJECLevel_                                "currentJECLevel_[patJets_slimmedJetsPuppi__DQM.obj_]"               2960894
      patJets_slimmedJetsPuppi__DQM.obj.currentJECFlavor_                               "currentJECFlavor_[patJets_slimmedJetsPuppi__DQM.obj_]"              2961140
      patJets_slimmedJetsPuppi__DQM.obj.pairDiscriVector_                               "pairDiscriVector_[patJets_slimmedJetsPuppi__DQM.obj_]"              358508296
      patJets_slimmedJetsPuppi__DQM.obj.tagInfoLabels_                                  "tagInfoLabels_[patJets_slimmedJetsPuppi__DQM.obj_]"                 4086932
      patJets_slimmedJetsPuppi__DQM.obj.tagInfos_.data_                                 "data_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4087178
      patJets_slimmedJetsPuppi__DQM.obj.tagInfosFwdPtr_                                 "tagInfosFwdPtr_[patJets_slimmedJetsPuppi__DQM.obj_]"                4462688
      patJets_slimmedJetsPuppi__DQM.obj.jetCharge_                                      "jetCharge_[patJets_slimmedJetsPuppi__DQM.obj_]"                     2959418
      patJets_slimmedJetsPuppi__DQM.obj.associatedTracks_.refVector_.product_           "product_[patJets_slimmedJetsPuppi__DQM.obj_]"                       4055376
      patJets_slimmedJetsPuppi__DQM.obj.associatedTracks_.refVector_.keys_              "keys_[patJets_slimmedJetsPuppi__DQM.obj_]"                          4091852
      patJets_slimmedJetsPuppi__DQM.obj.specificCalo_                                   "specificCalo_[patJets_slimmedJetsPuppi__DQM.obj_]"                  4462196
      patJets_slimmedJetsPuppi__DQM.obj.specificJPT_                                    "specificJPT_[patJets_slimmedJetsPuppi__DQM.obj_]"                   4461950
      patJets_slimmedJetsPuppi__DQM.obj.specificPF_                                     "specificPF_[patJets_slimmedJetsPuppi__DQM.obj_]"                    48073872
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fHPD                                     "fHPD[patJets_slimmedJetsPuppi__DQM.obj_]"                           2959664
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fRBX                                     "fRBX[patJets_slimmedJetsPuppi__DQM.obj_]"                           2959664
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.n90Hits                                  "n90Hits[patJets_slimmedJetsPuppi__DQM.obj_]"                        1867961
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fSubDetector1                            "fSubDetector1[patJets_slimmedJetsPuppi__DQM.obj_]"                  2961878
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fSubDetector2                            "fSubDetector2[patJets_slimmedJetsPuppi__DQM.obj_]"                  2961878
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fSubDetector3                            "fSubDetector3[patJets_slimmedJetsPuppi__DQM.obj_]"                  2961878
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fSubDetector4                            "fSubDetector4[patJets_slimmedJetsPuppi__DQM.obj_]"                  2961878
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.restrictedEMF                            "restrictedEMF[patJets_slimmedJetsPuppi__DQM.obj_]"                  2961878
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.nHCALTowers                              "nHCALTowers[patJets_slimmedJetsPuppi__DQM.obj_]"                    1868845
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.nECALTowers                              "nECALTowers[patJets_slimmedJetsPuppi__DQM.obj_]"                    1868845
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.approximatefHPD                          "approximatefHPD[patJets_slimmedJetsPuppi__DQM.obj_]"                2962370
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.approximatefRBX                          "approximatefRBX[patJets_slimmedJetsPuppi__DQM.obj_]"                2962370
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.hitsInN90                                "hitsInN90[patJets_slimmedJetsPuppi__DQM.obj_]"                      1868403
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.numberOfHits2RPC                         "numberOfHits2RPC[patJets_slimmedJetsPuppi__DQM.obj_]"               1869950
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.numberOfHits3RPC                         "numberOfHits3RPC[patJets_slimmedJetsPuppi__DQM.obj_]"               1869950
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.numberOfHitsRPC                          "numberOfHitsRPC[patJets_slimmedJetsPuppi__DQM.obj_]"                1869729
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fEB                                      "fEB[patJets_slimmedJetsPuppi__DQM.obj_]"                            2959418
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fEE                                      "fEE[patJets_slimmedJetsPuppi__DQM.obj_]"                            2959418
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fHB                                      "fHB[patJets_slimmedJetsPuppi__DQM.obj_]"                            2959418
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fHE                                      "fHE[patJets_slimmedJetsPuppi__DQM.obj_]"                            2959418
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fHO                                      "fHO[patJets_slimmedJetsPuppi__DQM.obj_]"                            2959418
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fLong                                    "fLong[patJets_slimmedJetsPuppi__DQM.obj_]"                          2959910
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fShort                                   "fShort[patJets_slimmedJetsPuppi__DQM.obj_]"                         2960156
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fLS                                      "fLS[patJets_slimmedJetsPuppi__DQM.obj_]"                            2959418
      patJets_slimmedJetsPuppi__DQM.obj.jetID_.fHFOOT                                   "fHFOOT[patJets_slimmedJetsPuppi__DQM.obj_]"                         2960156
  patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_DQM.            "patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_DQM."            0
    patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_DQM.present  "patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_DQM.present"  216927
    patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_DQM.obj      "patJets_slimmedJetsAK8PFPuppiSoftDropPacked_SubJets_DQM.obj"      44177424
  patMETs_slimmedMETs__DQM.                                           "patMETs_slimmedMETs__DQM."                                           0
    patMETs_slimmedMETs__DQM.present  "patMETs_slimmedMETs__DQM.present"  210076
    patMETs_slimmedMETs__DQM.obj      "patMETs_slimmedMETs__DQM.obj"      130803060
  patMETs_slimmedMETsNoHF__DQM.                                       "patMETs_slimmedMETsNoHF__DQM."                                       0
    patMETs_slimmedMETsNoHF__DQM.present  "patMETs_slimmedMETsNoHF__DQM.present"  210960
    patMETs_slimmedMETsNoHF__DQM.obj      "patMETs_slimmedMETsNoHF__DQM.obj"      130807844
  patMETs_slimmedMETsPuppi__DQM.                                      "patMETs_slimmedMETsPuppi__DQM."                                      0
    patMETs_slimmedMETsPuppi__DQM.present  "patMETs_slimmedMETsPuppi__DQM.present"  211181
    patMETs_slimmedMETsPuppi__DQM.obj      "patMETs_slimmedMETsPuppi__DQM.obj"      130809040
  patMuons_slimmedMuons__DQM.                                         "patMuons_slimmedMuons__DQM."                                         0
    patMuons_slimmedMuons__DQM.present  "patMuons_slimmedMuons__DQM.present"  210518
    patMuons_slimmedMuons__DQM.obj      "patMuons_slimmedMuons__DQM.obj"      1285596765
  patPackedCandidates_lostTracks__DQM.                                "patPackedCandidates_lostTracks__DQM."                                0
    patPackedCandidates_lostTracks__DQM.present  "patPackedCandidates_lostTracks__DQM.present"  212507
    patPackedCandidates_lostTracks__DQM.obj      "patPackedCandidates_lostTracks__DQM.obj"      60671740
  patPackedCandidates_packedPFCandidates__DQM.                        "patPackedCandidates_packedPFCandidates__DQM."                        0
    patPackedCandidates_packedPFCandidates__DQM.present  "patPackedCandidates_packedPFCandidates__DQM.present"  214275
    patPackedCandidates_packedPFCandidates__DQM.obj      "patPackedCandidates_packedPFCandidates__DQM.obj_"     1529444
      patPackedCandidates_packedPFCandidates__DQM.obj.packedPt_                    "packedPt_[patPackedCandidates_packedPFCandidates__DQM.obj_]"                    504460696
      patPackedCandidates_packedPFCandidates__DQM.obj.packedEta_                   "packedEta_[patPackedCandidates_packedPFCandidates__DQM.obj_]"                   504465031
      patPackedCandidates_packedPFCandidates__DQM.obj.packedPhi_                   "packedPhi_[patPackedCandidates_packedPFCandidates__DQM.obj_]"                   504465031
      patPackedCandidates_packedPFCandidates__DQM.obj.packedM_                     "packedM_[patPackedCandidates_packedPFCandidates__DQM.obj_]"                     504456361
      patPackedCandidates_packedPFCandidates__DQM.obj.packedDxy_                   "packedDxy_[patPackedCandidates_packedPFCandidates__DQM.obj_]"                   504465031
      patPackedCandidates_packedPFCandidates__DQM.obj.packedDz_                    "packedDz_[patPackedCandidates_packedPFCandidates__DQM.obj_]"                    504460696
      patPackedCandidates_packedPFCandidates__DQM.obj.packedDPhi_                  "packedDPhi_[patPackedCandidates_packedPFCandidates__DQM.obj_]"                  504469366
